                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4388,                 1.9806,                 1.0874,                0.70001,                0.38552,                0.61314,                0.35904,                 1.3139,                 2.8036,                0.97107,             0.00028194,             0.00028194,             0.00028194
                     35,                 1.3801,                 1.8491,                 1.0545,                0.74044,                0.31045,                0.64214,                0.38977,                   1.25,                  2.634,                0.96957,             0.00028609,             0.00028609,             0.00028609
                     36,                  1.351,                 1.9673,                 1.0394,                0.75345,                0.35447,                0.66632,                0.40468,                 1.3612,                 2.5532,                 1.0004,             0.00028999,             0.00028999,             0.00028999
                     37,                 1.3972,                 1.8271,                 1.0101,                0.75345,                0.35447,                0.66632,                0.40468,                 1.3612,                 2.5532,                 1.0004,             0.00029364,             0.00029364,             0.00029364
                     38,                 1.4213,                 1.8141,                0.99602,                0.76091,                0.37622,                0.69985,                0.41897,                  1.414,                 2.5122,                 1.0274,             0.00029705,             0.00029705,             0.00029705
                     39,                 1.3061,                 1.8376,                 1.0331,                0.76029,                0.38168,                0.73505,                0.45236,                 1.3605,                 2.4688,                 1.0092,              0.0003002,              0.0003002,              0.0003002
                     40,                 1.3598,                 1.8281,                0.99483,                0.76029,                0.38168,                0.73505,                0.45236,                 1.3605,                 2.4688,                 1.0092,             0.00030311,             0.00030311,             0.00030311
                     41,                 1.2772,                 1.7094,                 0.9723,                0.78797,                0.37271,                 0.7731,                0.47928,                 1.2728,                 2.4397,                 0.9914,             0.00030578,             0.00030578,             0.00030578
                     42,                 1.2836,                 1.7015,                 1.0201,                 0.7943,                0.38534,                0.81873,                0.50379,                  1.268,                 2.4165,                 0.9918,             0.00030819,             0.00030819,             0.00030819
                     43,                 1.2906,                 1.6602,                 1.0069,                 0.7943,                0.38534,                0.81873,                0.50379,                  1.268,                 2.4165,                 0.9918,             0.00031036,             0.00031036,             0.00031036
                     44,                 1.3278,                 1.6227,                0.99899,                0.82912,                0.44886,                0.82327,                0.50706,                 1.2606,                 2.3305,                0.98973,             0.00031228,             0.00031228,             0.00031228
                     45,                 1.2966,                 1.5993,                  1.013,                0.82912,                0.44886,                0.82327,                0.50706,                 1.2606,                 2.3305,                0.98973,             0.00031395,             0.00031395,             0.00031395
                     46,                 1.3164,                 1.6003,                  1.007,                0.87755,                0.54926,                0.87034,                0.54545,                 1.2082,                 2.1916,                0.96438,             0.00031537,             0.00031537,             0.00031537
                     47,                 1.2754,                 1.5234,                0.97882,                0.87755,                0.54926,                0.87034,                0.54545,                 1.2082,                 2.1916,                0.96438,             0.00031655,             0.00031655,             0.00031655
                     48,                  1.295,                 1.5535,                 1.0207,                0.88573,                0.66038,                0.88505,                0.54092,                 1.2595,                 2.0902,                0.97377,             0.00031748,             0.00031748,             0.00031748
                     49,                  1.366,                 1.5054,                  1.035,                0.88573,                0.66038,                0.88505,                0.54092,                 1.2595,                 2.0902,                0.97377,             0.00031816,             0.00031816,             0.00031816
                     50,                 1.3099,                  1.573,                 1.0114,                0.87658,                0.70739,                0.90255,                0.54994,                 1.2738,                 1.9959,                0.97676,             0.00031859,             0.00031859,             0.00031859
                     51,                  1.264,                 1.4921,                 1.0142,                0.87658,                0.70739,                0.90255,                0.54994,                 1.2738,                 1.9959,                0.97676,             0.00031562,             0.00031562,             0.00031562
                     52,                 1.2468,                 1.5121,                0.97833,                0.88958,                0.69664,                0.90818,                 0.5617,                 1.2532,                 1.9958,                0.97186,             0.00031562,             0.00031562,             0.00031562
                     53,                 1.2222,                 1.4066,                0.97522,                0.88958,                0.69664,                0.90818,                 0.5617,                 1.2532,                 1.9958,                0.97186,             0.00030944,             0.00030944,             0.00030944
                     54,                 1.2739,                  1.389,                 0.9698,                0.91226,                0.63699,                0.91208,                0.57611,                 1.2264,                 2.0613,                 0.9653,             0.00030325,             0.00030325,             0.00030325
                     55,                 1.2639,                 1.4019,                0.97417,                0.91226,                0.63699,                0.91208,                0.57611,                 1.2264,                 2.0613,                 0.9653,             0.00029706,             0.00029706,             0.00029706
                     56,                 1.2105,                 1.4034,                0.96654,                0.93218,                0.63633,                0.92645,                0.60107,                 1.2086,                  2.061,                0.96236,             0.00029088,             0.00029088,             0.00029088
                     57,                 1.3222,                 1.4018,                0.97085,                0.93218,                0.63633,                0.92645,                0.60107,                 1.2086,                  2.061,                0.96236,             0.00028469,             0.00028469,             0.00028469
                     58,                 1.2107,                 1.3578,                0.97699,                0.94722,                0.64902,                0.92709,                0.61088,                 1.1804,                 2.0253,                0.96233,              0.0002785,              0.0002785,              0.0002785
                     59,                 1.2365,                 1.3636,                 1.0085,                0.94722,                0.64902,                0.92709,                0.61088,                 1.1804,                 2.0253,                0.96233,             0.00027231,             0.00027231,             0.00027231
                     60,                 1.2397,                 1.3597,                0.98891,                0.95398,                0.65281,                0.92535,                0.61453,                 1.1917,                 1.9668,                0.96891,             0.00026613,             0.00026613,             0.00026613
                     61,                 1.2881,                 1.2894,                 1.0051,                0.95398,                0.65281,                0.92535,                0.61453,                 1.1917,                 1.9668,                0.96891,             0.00025994,             0.00025994,             0.00025994
                     62,                 1.1735,                 1.2982,                 0.9428,                0.96709,                0.67198,                0.92337,                0.60685,                 1.2246,                 1.9186,                  0.979,             0.00025375,             0.00025375,             0.00025375
                     63,                 1.2248,                 1.2733,                 1.0109,                0.96709,                0.67198,                0.92337,                0.60685,                 1.2246,                 1.9186,                  0.979,             0.00024756,             0.00024756,             0.00024756
                     64,                  1.193,                 1.2354,                0.98202,                0.96496,                0.77259,                0.93552,                0.57549,                 1.2946,                  1.772,                 0.9908,             0.00024137,             0.00024137,             0.00024137
                     65,                 1.1518,                 1.3415,                0.98574,                0.96496,                0.77259,                0.93552,                0.57549,                 1.2946,                  1.772,                 0.9908,             0.00023519,             0.00023519,             0.00023519
                     66,                 1.1975,                 1.2503,                0.97321,                0.92055,                0.84425,                0.94666,                0.57973,                  1.317,                 1.5833,                0.98924,               0.000229,               0.000229,               0.000229
                     67,                 1.1688,                 1.2632,                0.96639,                0.92055,                0.84425,                0.94666,                0.57973,                  1.317,                 1.5833,                0.98924,             0.00022281,             0.00022281,             0.00022281
                     68,                 1.1887,                 1.3131,                0.99026,                0.87653,                0.85719,                0.95715,                0.58777,                 1.3157,                 1.4176,                0.98384,             0.00021662,             0.00021662,             0.00021662
                     69,                 1.1928,                 1.1787,                0.98518,                0.87653,                0.85719,                0.95715,                0.58777,                 1.3157,                 1.4176,                0.98384,             0.00021044,             0.00021044,             0.00021044
                     70,                 1.2125,                 1.2227,                 1.0076,                0.87955,                0.89843,                0.95966,                0.59917,                 1.2742,                 1.2944,                0.97633,             0.00020425,             0.00020425,             0.00020425
                     71,                 1.1191,                 1.1696,                0.94844,                0.87955,                0.89843,                0.95966,                0.59917,                 1.2742,                 1.2944,                0.97633,             0.00019806,             0.00019806,             0.00019806
